[Running] python -u "c:\Users\ragha\Desktop\DLT LAB\exp.no2\exp no 2.py"
Iteration 100/5000, Cost: 0.5478
Iteration 200/5000, Cost: 0.4618
Iteration 300/5000, Cost: 0.4058
Iteration 400/5000, Cost: 0.3662
Iteration 500/5000, Cost: 0.3366
Iteration 600/5000, Cost: 0.3135
Iteration 700/5000, Cost: 0.2948
Iteration 800/5000, Cost: 0.2793
Iteration 900/5000, Cost: 0.2662
Iteration 1000/5000, Cost: 0.2550
Iteration 1100/5000, Cost: 0.2452
Iteration 1200/5000, Cost: 0.2366
Iteration 1300/5000, Cost: 0.2290
Iteration 1400/5000, Cost: 0.2221
Iteration 1500/5000, Cost: 0.2159
Iteration 1600/5000, Cost: 0.2103
Iteration 1700/5000, Cost: 0.2052
Iteration 1800/5000, Cost: 0.2004
Iteration 1900/5000, Cost: 0.1961
Iteration 2000/5000, Cost: 0.1921
Iteration 2100/5000, Cost: 0.1883
Iteration 2200/5000, Cost: 0.1848
Iteration 2300/5000, Cost: 0.1816
Iteration 2400/5000, Cost: 0.1785
Iteration 2500/5000, Cost: 0.1757
Iteration 2600/5000, Cost: 0.1730
Iteration 2700/5000, Cost: 0.1704
Iteration 2800/5000, Cost: 0.1680
Iteration 2900/5000, Cost: 0.1657
Iteration 3000/5000, Cost: 0.1635
Iteration 3100/5000, Cost: 0.1615
Iteration 3200/5000, Cost: 0.1595
Iteration 3300/5000, Cost: 0.1576
Iteration 3400/5000, Cost: 0.1559
Iteration 3500/5000, Cost: 0.1542
Iteration 3600/5000, Cost: 0.1525
Iteration 3700/5000, Cost: 0.1509
Iteration 3800/5000, Cost: 0.1494
Iteration 3900/5000, Cost: 0.1480
Iteration 4000/5000, Cost: 0.1466
Iteration 4100/5000, Cost: 0.1453
Iteration 4200/5000, Cost: 0.1440
Iteration 4300/5000, Cost: 0.1427
Iteration 4400/5000, Cost: 0.1415
Iteration 4500/5000, Cost: 0.1404
Iteration 4600/5000, Cost: 0.1393
Iteration 4700/5000, Cost: 0.1382
Iteration 4800/5000, Cost: 0.1371
Iteration 4900/5000, Cost: 0.1361
Iteration 5000/5000, Cost: 0.1351

Model Accuracy on Test Set: 0.9824561403508771

[Done] exited with code=0 in 1.74 seconds

